# conditions_of_record.csv — 实验条件权威溯源
# Protocol: ac_suite_2026-06-validated | Generated: 2026-06-22
# Sources: launch_b1.sh ~ launch_b7.sh + src/train.py argparse defaults
#
# RULE: 6 fields confirmed as CODE DEFAULTS in logs → must extract from launch script.
#   If launch script passes the flag → use script value (authoritative).
#   If launch script does NOT pass → code default applies (from src/train.py, verified 2026-06-22).
#   NEVER trust log/manifest values for these 6 fields.
#
# Code defaults (src/train.py, verified 2026-06-22):
#   augment_condition   = 'C1'        (L308, choices: C1/C2/C3/C4)
#   fusion_mode         = 'weighted'  (L282, choices: last/best_single/weighted)
#   use_adapter         = False       (L287, action='store_true')
#   unfreeze_ssl        = False       (L289, action='store_true')
#   reg_profile         = 'default'   (L303, choices: default/fau)
#   fusion_best_layer   = 8           (L285)
#
# Reliable fields (can use logs/manifest):
#   corpus, pooling, seeds — verified consistent across launch scripts & manifest
#
# B7 special: source domain from --load_checkpoint path, NOT from --train_data.
#   Source marked "仅脚本可证" (only provable via script).
#
experiment_id,phase,train_corpus,test_corpus,pooling,fusion_mode,use_adapter,unfreeze_ssl,augment_condition,reg_profile,fusion_best_layer,seeds,source_field,notes
# ===== B1: E1 Pooling × Dataset Baseline (frozen) — launch_b1.sh =====
# Script passes: pool, reg. Does NOT pass: fusion, adapter, unfreeze, aug, fusion_layer.
E1-01,B1,c-besd,c-besd,mean,weighted,False,False,C1,default,8,42/123/456,launch_b1.sh:L57 | explicit: pool/reg; default: fusion/adapter/unfreeze/aug/fusion_layer,
E1-02,B1,c-besd,c-besd,self_attention,weighted,False,False,C1,default,8,42/123/456,launch_b1.sh:L58 | explicit: pool/reg; default: fusion/adapter/unfreeze/aug/fusion_layer,
E1-03,B1,c-besd,c-besd,prosody_guided,weighted,False,False,C1,default,8,42/123/456,launch_b1.sh:L59 | explicit: pool/reg; default: fusion/adapter/unfreeze/aug/fusion_layer,
E1-04,B1,fau-aibo,fau-aibo,mean,weighted,False,False,C1,fau,8,42/123/456,launch_b1.sh:L62 | explicit: pool/reg; default: fusion/adapter/unfreeze/aug/fusion_layer,
E1-05,B1,fau-aibo,fau-aibo,self_attention,weighted,False,False,C1,fau,8,42/123/456,launch_b1.sh:L63 | explicit: pool/reg; default: fusion/adapter/unfreeze/aug/fusion_layer,
E1-06,B1,fau-aibo,fau-aibo,prosody_guided,weighted,False,False,C1,fau,8,42/123/456,launch_b1.sh:L64 | explicit: pool/reg; default: fusion/adapter/unfreeze/aug/fusion_layer,
E1-07,B1,iemocap,iemocap,mean,weighted,False,False,C1,default,8,42/123/456,launch_b1.sh:L67 | explicit: pool/reg; default: fusion/adapter/unfreeze/aug/fusion_layer,
E1-08,B1,iemocap,iemocap,self_attention,weighted,False,False,C1,default,8,42/123/456,launch_b1.sh:L68 | explicit: pool/reg; default: fusion/adapter/unfreeze/aug/fusion_layer,⚠ AGGREGATION INVALID (跨seed配置不一致; s42 old protocol)
E1-09,B1,iemocap,iemocap,prosody_guided,weighted,False,False,C1,default,8,42/123/456,launch_b1.sh:L69 | explicit: pool/reg; default: fusion/adapter/unfreeze/aug/fusion_layer,
# ===== B2: E3 Zero-shot Transfer — launch_b2.sh =====
# Script passes: pool, seed=42. Does NOT pass: fusion, adapter, unfreeze, aug, reg, fusion_layer.
# reg_profile: B2 NEVER passes --reg_profile → all use code default 'default'
# (even FAU-target experiments, which normally use 'fau')
E3-01,B2,c-besd-4cl,fau-aibo,mean,weighted,False,False,C1,default,8,42,launch_b2.sh:L34 | explicit: pool; default: reg/fusion/adapter/unfreeze/aug/fusion_layer,Zero-shot; src=C-BESD(4cl); ⚠ reg=default(非fau): run_zs()未传--reg_profile
E3-02,B2,c-besd-4cl,fau-aibo,self_attention,weighted,False,False,C1,default,8,42,launch_b2.sh:L35 | explicit: pool; default: reg/fusion/adapter/unfreeze/aug/fusion_layer,Zero-shot; src=C-BESD(4cl); ⚠ reg=default(非fau): run_zs()未传--reg_profile
E3-03,B2,c-besd-4cl,fau-aibo,prosody_guided,weighted,False,False,C1,default,8,42,launch_b2.sh:L36 | explicit: pool; default: reg/fusion/adapter/unfreeze/aug/fusion_layer,Zero-shot; src=C-BESD(4cl); ⚠ reg=default(非fau): run_zs()未传--reg_profile
